RegionID,SizeRank,RegionName,RegionType,State,City,Metro,CountyName,10_31_2023,11_30_2023,12_31_2023,1_31_2024,March292024
71026,4556,30306,zip,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,1003876.919,1009672.585,1011558.531,1010578.66,1012365
70807,4565,30021,zip,GA,Clarkston,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,301413.8971,302474.5674,303651.6619,304558.7613,305950
70861,4568,30082,zip,GA,Smyrna,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,453294.1328,455093.5294,456518.9326,457616.2298,459188
70804,4572,30017,zip,GA,Grayson,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,433594.7735,433691.7425,433783.4178,433842.1573,434482
70973,4588,30233,zip,GA,Jackson,"Atlanta-Sandy Springs-Alpharetta, GA",Butts County,272702.7959,273965.9876,274670.4492,274846.2683,275153
71029,4610,30309,zip,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,908173.5188,913459.032,916120.2511,915955.7951,915114
71025,4619,30305,zip,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,1111652.284,1120076.561,1124839.767,1126266.604,1127787
71157,4688,30504,zip,GA,Gainesville,"Gainesville, GA",Hall County,356513.0305,357044.2036,357309.7115,357576.7554,358549
71019,4728,30297,zip,GA,Forest Park,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,176950.1893,176718.2091,176303.5716,176897.1997,178087
70902,4793,30125,zip,GA,Cedartown,"Cedartown, GA",Polk County,182750.9361,183317.5348,183392.0621,183942.5682,185027
70800,4796,30013,zip,GA,Conyers,"Atlanta-Sandy Springs-Alpharetta, GA",Rockdale County,321952.9557,321257.4863,320703.9011,320730.7155,321394
71063,4812,30345,zip,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,599687.9272,603145.3325,605389.444,605772.1966,606944
70893,4851,30116,zip,GA,Carrollton,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County,275545.9345,276386.1987,276823.9194,277390.4406,278113
70979,4894,30241,zip,GA,Lagrange,"LaGrange, GA-AL",Troup County,192670.7627,194361.5318,195475.7986,196012.6185,196995
70936,4961,30168,zip,GA,Austell,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,286984.2311,287452.6991,287799.3938,288228.8625,289029
71679,4987,31792,zip,GA,Thomasville,"Thomasville, GA",Thomas County,179211.8774,180076.5226,181257.6533,182582.7578,183340
70898,5052,30121,zip,GA,Cartersville,"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County,296934.3501,297252.0626,297668.2141,297855.743,298424
70883,5076,30106,zip,GA,Austell,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,307193.2774,307329.8176,307347.7014,307465.0333,308279
71260,5145,30655,zip,GA,Monroe,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County,338577.4226,339464.6993,339590.9408,339575.1365,340262
71176,5148,30528,zip,GA,Cleveland,,White County,303978.0217,305528.8722,306901.9031,307952.5051,308970
71593,5152,31605,zip,GA,Valdosta,"Valdosta, GA",Lowndes County,232987.2006,233375.6685,233767.7144,234404.6078,235087
